,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
3876,73704675,Mixed Breed,True,Young,Male,Fulton County Animal Services,2,"Atlanta, GA",
3877,73705086,Pit Bull Terrier,True,Adult,Male,Fulton County Animal Services,2,"Atlanta, GA",
3878,73705088,Siberian Husky,True,Adult,Female,Fulton County Animal Services,2,"Atlanta, GA",
3879,73705091,Pit Bull Terrier,True,Adult,Male,Fulton County Animal Services,0,"Atlanta, GA",
3880,73705094,Siberian Husky,True,Adult,Female,Fulton County Animal Services,0,"Atlanta, GA",
3881,73705611,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3882,73705613,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3883,73705633,Mixed Breed,True,Young,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3884,73705637,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3885,73705638,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3886,73705640,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3887,73705642,Mixed Breed,True,Baby,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3888,73706042,Pit Bull Terrier,True,Young,Male,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
3889,73706043,Terrier,True,Young,Female,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
3890,73706048,Pit Bull Terrier,True,Senior,Female,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
3891,73706049,Pit Bull Terrier,True,Adult,Female,Gwinnett County Animal Control and Welfare,3,"Lawrenceville, GA",
3892,73706050,Chihuahua,True,Senior,Female,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
3893,73706321,German Shepherd Dog,False,Young,Female,Rescue Me Ga Inc,5,"Dunwoody, GA",600.0
3894,73706415,Mixed Breed,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3895,73706417,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3896,73706419,Rottweiler,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3897,73706421,Pit Bull Terrier,True,Young,Female,Fulton County Animal Services,3,"Atlanta, GA",
3898,73706422,Pit Bull Terrier,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3899,73706425,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3900,73706576,Chihuahua,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3901,73706578,Beagle,False,Senior,Female,Fulton County Animal Services,1,"Atlanta, GA",
3902,73706581,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3903,73706582,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3904,73706584,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3905,73706587,Boston Terrier,False,Senior,Male,Douglas County Animal Shelter,6,"Douglasville, GA",
3906,73707387,Great Pyrenees,True,Adult,Male,Newton County Animal Control,1,"Covington, GA",
3907,73707425,Labrador Retriever,True,Young,Female,Fulton County Animal Services,1,"Atlanta, GA",
3908,73708935,Husky,False,Young,Female,Barrow County Animal Control,0,"Winder, GA",
3909,73710028,Pit Bull Terrier,True,Baby,Male,Pup & Cat Co.,1,"Winder, GA",350.0
3910,73710405,Terrier,True,Adult,Female,LaGrange Troup County Humane Society,3,"Lagrange, GA",
3911,73710407,Terrier,True,Adult,Male,LaGrange Troup County Humane Society,0,"Lagrange, GA",
3912,73710408,Retriever,True,Baby,Male,LaGrange Troup County Humane Society,1,"Lagrange, GA",
3913,73711379,Dutch Shepherd,False,Young,Male,"Leica's ""Saving Paws"" Rescue, Inc.",3,"Loganville, GA",
3914,73711591,Siberian Husky,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3915,73711717,Pit Bull Terrier,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3916,73713400,Labrador Retriever,True,Young,Male,Gwinnett County Animal Control and Welfare,4,"Lawrenceville, GA",
3917,73713402,Pit Bull Terrier,True,Adult,Male,Gwinnett County Animal Control and Welfare,3,"Lawrenceville, GA",
3918,73713535,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,3,"Chamblee, GA",
3919,73713827,Labrador Retriever,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3920,73713828,Labrador Retriever,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3921,73713867,Shih Tzu,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3922,73713868,Mixed Breed,True,Baby,Male,Dekalb County Animal Services,2,"Chamblee, GA",
3923,73713869,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,2,"Chamblee, GA",
