,pet_id,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee,clean_pet_names
81,72813759,Border Collie,Jack Russell Terrier,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,Unknown,False,True,False,"Decatur, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",,Patsy
82,72765055,Terrier,Pharaoh Hound,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Dodger
83,72715658,Australian Cattle Dog / Blue Heeler,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Lady
84,72715657,American Staffordshire Terrier,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Rosie
85,72706844,American Bulldog,Boxer,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,True,False,"Decatur, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",,Keanu
86,72706846,Hound,None,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Prince
87,72630047,Black Labrador Retriever,None,True,Adult,Female,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Sadie
88,72630048,American Staffordshire Terrier,None,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,Unknown,True,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Orrelo
89,72535268,Scottish Terrier,None,True,Senior,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Sam
90,72535267,American Staffordshire Terrier,None,False,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,True,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Rizzo
91,72535266,Catahoula Leopard Dog,None,True,Young,Male,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Seabiscuit
92,72314770,Feist,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Doreen
93,72270468,Labrador Retriever,Terrier,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Piccolo
