pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
65032208,Cricket ,Terrier,,True,Young,Male,Medium,White / Cream,Apricot / Beige,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,True,True,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Funny, Athletic, Brave, Couch potato, Loves kisses",N/A,N/A
64159616,Maya,Pit Bull Terrier,,True,Adult,Female,Medium,Gray / Blue / Silver,White / Cream,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,5,True,False,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Gentle, Protective, Curious, Athletic, Quiet, Couch potato, Loves kisses",N/A,N/A
59837047,Zack,Husky,Labrador Retriever,True,Adult,Male,Large,White / Cream,,Medium,Baldwin County Jail Dog Program ,GA972,31061,6,,False,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Independent, Athletic, Quiet, leaner, attentive, watchful",Yes,"Vaccinations up to date, spayed / neutered."
52714350,Rico,Pointer,Pit Bull Terrier,True,Senior,Male,Large,White / Cream,Brown / Chocolate,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Funny, Quiet, low maintenance, gives free kisses, sweet, calm, Couch Potato",Yes,"Vaccinations up to date, spayed / neutered."
51044806,Trixie,Pit Bull Terrier,Mixed Breed,True,Adult,Female,Medium,Black,White / Cream,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,True,,False,"Milledgeville, GA","Friendly, energetic, playful, clean, smart, athletic, Quiet, Independent, Affectionate, Playful, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered."
69893732,Nova,Boxer,American Staffordshire Terrier,True,Young,Female,Medium,Brown / Chocolate,,Short,Faith Animal Rescue Inc,GA1016,31050,5,True,False,True,,False,"Knoxville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Protective, Curious, Independent, Funny, Athletic, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
73784911,Bonnie,Terrier,,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,3,,,,,False,"Forsyth, GA",N/A,N/A,Vaccinations up to date.
73595539,Baby George,Terrier,,True,Baby,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,,True,,False,"Forsyth, GA",N/A,N/A,N/A
73538033,Keaton,Terrier,,True,Baby,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,True,True,,False,"Forsyth, GA",N/A,N/A,N/A
73517725,Ruby,Catahoula Leopard Dog,,True,Young,Female,Medium,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
73095658,Hondo,Terrier,,True,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
72695235,Angela,Boxer,Shepherd,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,4,,,,,False,"Forsyth, GA",N/A,N/A,Spayed / neutered.
72055486,Pope,Shepherd,,True,Young,Male,Large,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,Yes,Vaccinations up to date.
