iter	MultiClass
0	1.021681209
1	0.9562007273
2	0.9006853851
3	0.8524473938
4	0.8004927888
5	0.7506350747
6	0.716009775
7	0.6822909692
8	0.647374326
9	0.611466244
10	0.5860057215
11	0.5633836999
12	0.5385510914
13	0.5184561699
14	0.4938568185
15	0.4748423848
16	0.4533599442
17	0.4370175087
18	0.4190156978
19	0.4032763674
20	0.391567601
21	0.3770285179
22	0.3613704419
23	0.3487919857
24	0.3377582748
25	0.3287030471
26	0.3169534162
27	0.3079187026
28	0.2968059757
29	0.2882537299
30	0.2787618479
31	0.2721708314
32	0.2636319599
33	0.2579704724
34	0.2504100284
35	0.245189047
36	0.2387634264
37	0.2323360883
38	0.22622275
39	0.2203754001
40	0.2156755587
41	0.2096120508
42	0.2039657408
43	0.200145989
44	0.1951588973
45	0.1917872503
46	0.1877453875
47	0.1836073085
48	0.1805903283
49	0.1763465707
50	0.1731431417
51	0.1698246459
52	0.1665268983
53	0.1646884659
54	0.1615338274
55	0.158125356
56	0.1556535469
57	0.1530831281
58	0.1501286012
59	0.1477580709
60	0.1450961891
61	0.1430582973
62	0.140460184
63	0.1373745248
64	0.1349475901
65	0.133010875
66	0.1307677239
67	0.1290960318
68	0.126679037
69	0.1243855733
70	0.1224345437
71	0.1206725035
72	0.118577403
73	0.1174232047
74	0.1149681096
75	0.1127449722
76	0.1113410009
77	0.1098602258
78	0.1085088088
79	0.1069462911
80	0.1057859716
81	0.1041186597
82	0.1021958868
83	0.1010764658
84	0.09994128636
85	0.09802901811
86	0.09698821853
87	0.09566293511
88	0.09420755699
89	0.09281370642
90	0.09124826947
91	0.08958298246
92	0.08845850199
93	0.0871566798
94	0.08595687778
95	0.08457099067
96	0.08374201665
97	0.08284173574
98	0.08177334497
99	0.0803908046
100	0.07958033549
101	0.07871114237
102	0.07779289845
103	0.07682082347
104	0.07597479525
105	0.07500823108
106	0.07414976859
107	0.07336438019
108	0.07243493985
109	0.07159006595
110	0.07104054582
111	0.07032054912
112	0.06957680565
113	0.06846859739
114	0.06793839526
115	0.06711848656
116	0.06628289221
117	0.06554008193
118	0.06480046079
119	0.06426600325
120	0.06372627691
121	0.06316804544
122	0.06271773275
123	0.06191727348
124	0.06123945827
125	0.06052480087
126	0.05990164722
127	0.0593387292
128	0.05881160732
129	0.05825419576
130	0.05761370732
131	0.05722488997
132	0.05663833622
133	0.05616688288
134	0.05560107071
135	0.05503908719
136	0.05448311077
137	0.05394180069
138	0.05353284507
139	0.05287350348
140	0.05236306566
141	0.0519902097
142	0.05156212673
143	0.05125186758
144	0.05078336481
145	0.05029355134
146	0.04987652538
147	0.0495239244
148	0.04894733596
149	0.04850121818
150	0.04817161655
151	0.04774748682
152	0.04735065103
153	0.04694524257
154	0.04661550337
155	0.04624721898
156	0.04599621611
157	0.04566453223
158	0.04530301101
159	0.04493169687
160	0.04457491095
161	0.0443209
162	0.04383046819
163	0.04351104611
164	0.04318445848
165	0.04282810493
166	0.04241110938
167	0.04206158328
168	0.04181212132
169	0.04154059022
170	0.04109836546
171	0.04075678567
172	0.04045060737
173	0.04013399892
174	0.03981205254
175	0.03954738995
176	0.03928177389
177	0.03897956291
178	0.03873277082
179	0.0384854768
180	0.03819872661
181	0.03796896315
182	0.03767875111
183	0.03744219995
184	0.03718036088
185	0.03692211686
186	0.03672782384
187	0.03650053746
188	0.03623549489
189	0.03605941564
190	0.03584652514
191	0.0356037722
192	0.0353405081
193	0.03515797012
194	0.03493986134
195	0.03474921454
196	0.03454520188
197	0.03423759326
198	0.03400780215
199	0.0338050969
200	0.03364338279
201	0.03346848297
202	0.03322145832
203	0.03301489949
204	0.03284308705
205	0.03269248414
206	0.03247521379
207	0.03233697465
208	0.03213790773
209	0.03193385875
210	0.03175320539
211	0.03148814701
212	0.03127474553
213	0.03111979826
214	0.03094724527
215	0.03078810067
216	0.03063019059
217	0.03044576391
218	0.03027091208
219	0.03011748912
220	0.02999010425
221	0.0298087047
222	0.02966426907
223	0.02947985272
224	0.02930234655
225	0.02918609162
226	0.02907581869
227	0.02885441289
228	0.02870780066
229	0.02855608022
230	0.02842757597
231	0.02832382922
232	0.02819612652
233	0.02807880893
234	0.02792598285
235	0.02778058708
236	0.02766470336
237	0.02746055596
238	0.02729347502
239	0.02719464424
240	0.02705455281
241	0.02694219584
242	0.02681061274
243	0.02667181786
244	0.02653241846
245	0.02644180419
246	0.02629192303
247	0.02612578019
248	0.02598391429
249	0.02585290122
250	0.02571893805
251	0.02561257128
252	0.02549993786
253	0.02535851578
254	0.02524444188
255	0.02507318672
256	0.02497833085
257	0.02485192515
258	0.02470701166
259	0.0245802145
260	0.02448225193
261	0.02438796769
262	0.02424951429
263	0.0240893692
264	0.02392244874
265	0.02382967919
266	0.02371161933
267	0.02362900633
268	0.02355101709
269	0.02343649097
270	0.02334672366
271	0.02324709171
272	0.02311688671
273	0.02301284592
274	0.02286350713
275	0.02278150905
276	0.02270432578
277	0.02263236624
278	0.02250242089
279	0.02239671312
280	0.02231621376
281	0.02220417389
282	0.02210354791
283	0.0220194663
284	0.02191160855
285	0.02182836443
286	0.02174273541
287	0.02165025956
288	0.02155347894
289	0.02144703571
290	0.02136229429
291	0.02129476888
292	0.02123445214
293	0.02114127637
294	0.02106791813
295	0.02098853203
296	0.0208756333
297	0.02078824895
298	0.02066935258
299	0.02061523856
300	0.02051545417
301	0.0204431406
302	0.02036417698
303	0.02029599945
304	0.02018023673
305	0.02011268777
306	0.02003162946
307	0.01996937049
308	0.01990395363
309	0.0198019899
310	0.01969299011
311	0.01962043454
312	0.01956324635
313	0.01950250007
314	0.0194359618
315	0.01936169686
316	0.01926078776
317	0.01917832267
318	0.01912750693
319	0.01902904858
320	0.01892900992
321	0.01887194044
322	0.01878577286
323	0.01870992524
324	0.01866014408
325	0.01858851739
326	0.01852869705
327	0.0184721106
328	0.01842023693
329	0.01837579208
330	0.01832401025
331	0.01825444518
332	0.01819256388
333	0.01812704704
334	0.0180704631
335	0.01802409908
336	0.01795439726
337	0.01789512684
338	0.01785038512
339	0.01779227049
340	0.01774124866
341	0.01770265113
342	0.01762724934
343	0.01756947595
344	0.01751162396
345	0.01746261261
346	0.01739795468
347	0.01732149054
348	0.01726936823
349	0.01721041113
350	0.01716747671
351	0.01712372047
352	0.01707209023
353	0.01701473963
354	0.01692968021
355	0.01684973379
356	0.01679910548
357	0.01671934684
358	0.01665265598
359	0.01658562155
360	0.01653817022
361	0.01645702076
362	0.01640680435
363	0.01635180577
364	0.01627650072
365	0.01623717717
366	0.0161968886
367	0.01612863172
368	0.01607163995
369	0.01601814381
370	0.01597749118
371	0.01590570946
372	0.01586184779
373	0.01582233362
374	0.01576741167
375	0.01570120531
376	0.01565102944
377	0.01558755561
378	0.01554589049
379	0.01547416667
380	0.01543004277
381	0.01537942474
382	0.01532144787
383	0.0152573402
384	0.01521564551
385	0.01517288845
386	0.01513472119
387	0.01509059754
388	0.01504220161
389	0.01499028974
390	0.01495629967
391	0.01490043063
392	0.01486004513
393	0.01481821684
394	0.01478287248
395	0.01473062758
396	0.0146755704
397	0.01464261879
398	0.0145993541
399	0.01456812301
400	0.01452407186
401	0.01449294891
402	0.01445087362
403	0.01441558554
404	0.0143732472
405	0.01433033311
406	0.01427416983
407	0.01423296912
408	0.01419741119
409	0.01417199345
410	0.01413739495
411	0.01410273243
412	0.01406138324
413	0.01401101179
414	0.01396659055
415	0.013936963
416	0.01389710254
417	0.01386147112
418	0.0138287072
419	0.01379275784
420	0.01375028119
421	0.01371440784
422	0.01367710652
423	0.01365340744
424	0.0136133606
425	0.01356496017
426	0.01352765096
427	0.01349718998
428	0.01346968348
429	0.01343712594
430	0.0133977696
431	0.01336368769
432	0.01333756285
433	0.01328837642
434	0.01326306065
435	0.01323087639
436	0.01319613394
437	0.01314800655
438	0.01312029347
439	0.013084551
440	0.0130572028
441	0.01303352415
442	0.01298657955
443	0.01293682946
444	0.0129039059
445	0.01287514296
446	0.01285267664
447	0.0128066983
448	0.01277308995
449	0.01275062239
450	0.01272437784
451	0.01269430781
452	0.01266965617
453	0.01264083291
454	0.01261473474
455	0.01259355412
