pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee
73720519,2024-10-140,Shepherd,,False,Young,Male,Large,,,,Barrow County Animal Control,GA261,30680,0,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73708935,2024-10-152,Husky,,False,Young,Female,Medium,,,,Barrow County Animal Control,GA261,30680,0,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73696248,2024-10-145 *Kennedy*,Pit Bull Terrier,,False,Adult,Male,Medium,,,,Barrow County Animal Control,GA261,30680,2,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73696246,2024-10-150 *Bobo*,Chihuahua,,False,Adult,Male,Small,,,,Barrow County Animal Control,GA261,30680,2,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73684188,2024-10-139 *Luna*,German Shepherd Dog,,False,Young,Female,Medium,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73684186,2024-10-138*Gunner*,Great Pyrenees,Anatolian Shepherd,True,Young,Male,Medium,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73672140,2024-09-093 *Dahila*,Collie,,False,Adult,Female,Large,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73643183,2024-10-120 *Link*,Pit Bull Terrier,,False,Adult,Male,Medium,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73643181,2024-10-119 *Mickey*,Pit Bull Terrier,,False,Adult,Male,Medium,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73638812,2024-10-116 *Champ*,Beagle,,False,Adult,Male,Medium,,,,Barrow County Animal Control,GA261,30680,2,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73638808,2024-10-115 *Sam*,Beagle,,False,Adult,Male,Medium,,,,Barrow County Animal Control,GA261,30680,2,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73587032,2024-10-095 *Raider*,American Bulldog,,False,Young,Male,Large,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73587027,2024-10-094 *Blue*,Pit Bull Terrier,,False,Adult,Male,Large,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,Vaccinations up to date.,N/A
73570709,2024-06-200 *Pammy*,Australian Shepherd,,False,Adult,Female,Medium,,,,Barrow County Animal Control,GA261,30680,1,,,,,False,"Winder, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
73559948,2024-10-001,Rottweiler,,False,Young,Male,Large,,,,Barrow County Animal Control,GA261,30680,0,,,,,False,"Winder, GA",N/A,N/A,N/A,N/A
